week,political_leaning,Anger_Score,Disgust_Score,Fear_Score,Joy_Score,Neutral_Score,Sadness_Score,Surprise_Score
2023-06-20,Liberal,0.18220095667389352,0.11222332805794262,0.043258793976357436,0.02553645275682871,0.5325443209814174,0.02276355633512134,0.08147259486057525
2023-06-27,Liberal,0.1356298181109447,0.2083465206892566,0.070970268506418,0.023930342465470638,0.4827598703609027,0.043909640180224384,0.03445355663511976
2023-07-04,Liberal,0.13459374382141595,0.22872916208960264,0.10558548874497334,0.011125077365788254,0.4177532097590821,0.03767572587584044,0.06453760427764936
2023-07-11,Liberal,0.1370276047321232,0.1596232061396892,0.22795181275700754,0.013200016134712594,0.330058186789852,0.07579449766260371,0.05634469257385808
2023-07-18,Liberal,0.16576486519559028,0.20344240079496306,0.03828123264247547,0.007191336510004429,0.5061443142317743,0.059400148843203375,0.019775694797069455
2023-07-25,Liberal,0.12029093368134147,0.13583379497868006,0.16125654537002745,0.022494988904024116,0.49643955017624347,0.030875102747813753,0.03280908804057006
2023-08-01,Liberal,0.11778236690254222,0.1517344564451156,0.049385311019078254,0.04379293981096325,0.5043917985419063,0.020497265555014847,0.11241585281016804
2023-08-08,Liberal,0.0956217310352561,0.12661300392355765,0.04684968490619208,0.03901124569820236,0.47491003638133406,0.14614242080909504,0.0708518712703759
2023-08-15,Liberal,0.08585331749636675,0.08919680040950571,0.05092594915768127,0.03331390781483298,0.6654170818626881,0.039748465960534864,0.035544474112490766
2023-08-22,Liberal,0.13215289617631026,0.2540051176539681,0.06635023529908834,0.027600208621229336,0.4464478518001418,0.03592651026283802,0.03751719636753435
2023-08-29,Liberal,0.07097152934369183,0.241454502446172,0.16884646175996113,0.008624714493002368,0.43980125507906725,0.012499548504938852,0.057801993756109574
2023-09-05,Liberal,0.08699447515287566,0.14753836395019396,0.0280748527452704,0.019559384207241185,0.6012156527611383,0.04728637396224903,0.06933090396203274
2023-09-12,Liberal,0.1895150422598376,0.1539087976385472,0.06024468987192389,0.00953779800682126,0.45939361044403276,0.04479458320631895,0.08260548639703877
2023-09-19,Liberal,0.06783560568389169,0.10530893395133756,0.05680514571750311,0.041457653185629814,0.6340292122470037,0.020651489260628594,0.07391195528006864
2023-09-26,Liberal,0.1157093723121957,0.14644573669990193,0.07463018636347028,0.025452515935552648,0.5859749329586824,0.01989049988104866,0.031896764366869196
2023-10-03,Liberal,0.10145624419674272,0.18652964577078815,0.10400313393212851,0.019206041687284545,0.5018084287364036,0.014501095698215019,0.07249540867633182
2023-10-10,Liberal,0.102967550802148,0.0857831576890829,0.08218391701423869,0.04592693469668217,0.5885232133997811,0.033159093031038804,0.0614561351585305
2023-10-17,Liberal,0.07773179682039152,0.08938139973316284,0.10592733426998109,0.013720923388525253,0.5867853942394688,0.08003467278204099,0.0464184833589293
2023-10-24,Liberal,0.1851071623630475,0.1473381502965335,0.07515498337086805,0.007794018039550194,0.4699598141339456,0.02941565928157674,0.08523020631400864
2023-10-31,Liberal,0.10788607421972143,0.12785388678372772,0.13383970231833778,0.014314221713749346,0.5356437621710749,0.03640823120057772,0.04405413656767647
2023-11-07,Liberal,0.09566350258496954,0.14302428069437828,0.0820169006176509,0.0184097610018757,0.5305505091714304,0.0651977402158081,0.0651373081626695
2023-11-14,Liberal,0.13833829713234255,0.1963311558713265,0.10807247436980923,0.01600782530740905,0.48852245029129626,0.016286073974052,0.03644171609325449
2023-11-21,Liberal,0.08664922849218379,0.11640517349587749,0.0715622412674015,0.01669576916724393,0.6190825881572758,0.03981978491533589,0.049785221807613196
2023-11-28,Liberal,0.11738604980395967,0.15882138893925354,0.04405621667151199,0.01920482499110394,0.5800462949441791,0.04184595329641564,0.03863927312110114
2023-12-05,Liberal,0.17073694572577042,0.15741974752637797,0.10181460652448646,0.01190664749527863,0.472094778523401,0.029257173296409023,0.056770086579490404
2023-12-12,Liberal,0.12572823113780282,0.17368746737460833,0.07040815389286352,0.03789564779680679,0.520656145998452,0.035772483729028866,0.03585187822700206
2023-12-19,Liberal,0.16858553938369297,0.25402480594844,0.0516657835838419,0.0057040961902303546,0.4282698616799381,0.016917741818663925,0.07483217528270966
2023-12-26,Liberal,0.09290150677058076,0.14523082709877608,0.11420010616014108,0.02152988200924317,0.536353288869029,0.03158053336983976,0.058203851273091946
2024-01-02,Liberal,0.13904897408965639,0.18388151456279178,0.06887229364526702,0.008034969906502421,0.5210332948032139,0.0238433380353052,0.055285610582467386
2024-01-09,Liberal,0.11923257140184024,0.13535180746112016,0.04637659749391278,0.034252047177223036,0.581243080790672,0.02308307088808048,0.060460822590781955
2024-01-16,Liberal,0.1262554693592146,0.16459231772902846,0.06412432373764183,0.020855916457956297,0.5066895635221497,0.05226189830837527,0.06522051434523987
2024-01-23,Liberal,0.12232434954076332,0.10386502347776112,0.047616091558339554,0.0185305960325282,0.626589806081775,0.019826680273325015,0.061247458873997185
2024-01-30,Liberal,0.1262573398073001,0.10376744544062283,0.10230932376236447,0.01708480226703719,0.5729401980425659,0.022543685530226138,0.05509720331768822
2024-02-06,Liberal,0.13586999354632082,0.11549394124460319,0.044213530007200685,0.018990345853954198,0.5942915246853215,0.03674417333772971,0.05439648781764081
2024-02-13,Liberal,0.11407848612243755,0.13465091913192184,0.06735383575095377,0.01814699551695528,0.5695866315166326,0.04070689815673845,0.05547623382721806
2024-02-20,Liberal,0.12216709839593708,0.15492209334791235,0.06709526264960497,0.024804000834021848,0.5579406977746844,0.025976564831343307,0.04709428455861373
2024-02-27,Liberal,0.1191729019536788,0.17205942170153002,0.09686943695658466,0.015577808098981192,0.517258105326314,0.02919013853683023,0.04987218994701406
2024-03-05,Liberal,0.11374167271686672,0.1905936626980039,0.05851927026493568,0.008211593105785031,0.5429040867051012,0.026536838824622624,0.059492874730385344
2024-03-12,Liberal,0.11733409548328524,0.2046807016901952,0.09761080715050466,0.02414857917239945,0.4909866608939664,0.021858130063440957,0.04338102644654887
2024-03-19,Liberal,0.10709389559015992,0.12569513601668333,0.11656128116769758,0.04249245095344982,0.5363972320153219,0.034282564393403644,0.03747744503482127
2024-03-26,Liberal,0.10727241423067654,0.13769794072479352,0.08123513801445705,0.021328663486398912,0.5340992417727966,0.031180817373060797,0.08718579193819022
2024-04-02,Liberal,0.14250297266485723,0.19413163904901473,0.0819200221686416,0.02674325848899919,0.47565789457861407,0.026883551340022193,0.05216066876743696
2024-04-09,Liberal,0.06812215962872255,0.09835227887886853,0.05636529405460682,0.012515136272503457,0.6740236919300612,0.032961989762714625,0.05765945355145369
2024-04-16,Liberal,0.11517727571481369,0.11699716463335785,0.04442950682860096,0.04128574911446772,0.5528396561101545,0.02292901822365815,0.1063416262666578
2024-04-23,Liberal,0.10695497243199492,0.14768940079025922,0.1114086857391521,0.04287723694462325,0.48585585489869115,0.053759826598688915,0.05145403077825898
2024-04-30,Liberal,0.10894144318357159,0.18963694112401794,0.12098690843562994,0.007828065149811317,0.4867279918448247,0.026065548785288398,0.05981310358822526
2024-05-07,Liberal,0.11100305572331862,0.17989185527518486,0.08735946141563253,0.010057405153546731,0.5419908922018581,0.01795576571429699,0.051741564369621525
2024-05-14,Liberal,0.0846516119089682,0.15665917811487368,0.032167883940682866,0.031000256009802576,0.6390622573325763,0.014047150478094161,0.042411672734856756
2024-05-21,Liberal,0.12359102985426552,0.1429922265268749,0.09552553846945305,0.027213564181389857,0.5242457176756227,0.036219355876021264,0.05021256591620229
2024-05-28,Liberal,0.10382902941657834,0.16178785596765297,0.062093165895692685,0.030324731689603594,0.5711516845431701,0.038677516972176064,0.03213601911475303
2024-06-04,Liberal,0.15349616826521617,0.13885999504721738,0.08161811389860905,0.013761661178250457,0.5421252211914785,0.028611105262219355,0.041527732895398566
2024-06-11,Liberal,0.10818067378136935,0.10068772603179285,0.10593517304596178,0.013373645380712425,0.5828755330694713,0.041862235813321526,0.04708501421298609
2024-06-18,Liberal,0.1083190223143022,0.1501763970351966,0.06353675691745721,0.039054152774965635,0.5810160129014516,0.017814292400453496,0.04008336042091274
2024-06-25,Liberal,0.14067911492936586,0.18968763919953727,0.07745780809856355,0.017332068245325717,0.48565422012298193,0.026174844705829814,0.06301430650868463
2024-07-02,Liberal,0.0896897831210686,0.159274683082326,0.11126544773428426,0.006976691552535436,0.5416268457268034,0.03456893353722984,0.0565976045815454
2024-07-09,Liberal,0.14157587338214442,0.14898020535780995,0.05536573427870229,0.019373899066091566,0.5829585031116087,0.02541558745954377,0.026330191703317157
2024-07-16,Liberal,0.17251359522005685,0.17192831242267087,0.05856529016493459,0.010190910616840528,0.5043184433123219,0.025274375221526542,0.057209076361782726
2024-07-23,Liberal,0.1289861050006885,0.17718916734457735,0.08755579154440679,0.02817195745040497,0.4966060466088901,0.023311472208849264,0.05817946186590261
2024-07-30,Liberal,0.12538673928857108,0.15859278246191222,0.04253347974532002,0.023630163182330147,0.57886376096159,0.01909188980887481,0.051901187627897576
2024-08-06,Liberal,0.12106218979061481,0.1178755520607532,0.11278773032288661,0.02511248181169194,0.5327532180791734,0.0373409789041685,0.053067860527158624
2024-08-13,Liberal,0.07660722742852473,0.10168028767007392,0.08296370215426045,0.02297290159124549,0.6044142502466686,0.03335784112533393,0.0780037936544799
2024-08-20,Liberal,0.10671079543887714,0.13143823436104954,0.05986383597597901,0.029634024599354297,0.5835595337823494,0.01704571036230998,0.07174786410249914
2024-08-27,Liberal,0.087689468926484,0.08549825855796886,0.07021233582137415,0.023099886830563476,0.6306396994872817,0.020408151146589865,0.08245220030491636
2024-09-03,Liberal,0.1191261256788172,0.1533832731986288,0.0688613833440553,0.02176555183284692,0.5655553604661049,0.0141186390901566,0.057189666229532976
2024-09-10,Liberal,0.13915277551997968,0.20278450407614335,0.08422242353214911,0.011007532969574475,0.4756410477409402,0.023855072717243166,0.06333663813229835
2024-09-17,Liberal,0.1491970307077931,0.19390444826060257,0.08429292901958903,0.030430810295540258,0.4799649897402194,0.0167384489453085,0.045471338167436655
2024-09-24,Liberal,0.1506601502159413,0.1487561591040607,0.0635286382121386,0.017908383652605095,0.5254664895736002,0.030643249494361213,0.06303692757211103
2024-10-01,Liberal,0.1128747186526892,0.17111240937481886,0.07872262405803938,0.020722310978856146,0.5259366347581975,0.029300942088199475,0.06133036439002404
2024-10-08,Liberal,0.15977962771291604,0.18953660739074915,0.07565554532764558,0.013336987587981186,0.4943665204180488,0.023470316209774696,0.04385440003234583
2024-10-15,Liberal,0.12722746939746848,0.17754389994920844,0.07864592486877912,0.015162056335414842,0.5136537589147616,0.030163018540278988,0.05760387338013502
2024-10-22,Liberal,0.1277424165529931,0.1659715339916909,0.06655939606022042,0.027572236280486107,0.5365134311242677,0.020260730950187534,0.05538025612849922
2024-10-29,Liberal,0.10454318946077751,0.17379124967472823,0.07187025740464113,0.020097151700299114,0.517771438863461,0.038245796228875355,0.07368091949881216
2022-12-27,Moderate,0.04746828973293298,0.08319363538175818,0.026120251882821282,0.1432647362351417,0.6553824990987778,0.02253980408422644,0.02203076742589468
2023-01-03,Moderate,0.06863470799433657,0.13148014438962657,0.05377930569457673,0.02462859518439552,0.6270027563705579,0.040759384966954616,0.0537151034402939
2023-01-10,Moderate,0.088670093543853,0.1834471729346423,0.0472670154341445,0.023101997193370007,0.601965019479394,0.014148995227639658,0.041399707220341614
